00000000  01 59 03 79 2B 15 52 00  00 00 00 00 00 00 04 50  |.Y.y+.R........P|
00000010  0C 01 04 00 00 00 03 00  00 00 58 00 00 00 57 00  |..........X...W.|
00000020  00 00 00 00 00 00 00 00  5A 0A 00 00 E7 0B 98 26  |........Z......&|
00000030  DF 97 CA 25 00 00 00 00  00 00 00 00 01 00 00 00  |...%............|
00000040  00 00 00 00 00 80 79 44  E4 00 00 00 00 00 00 00  |......yD........|
00000050  E7 0B 98 26 00 00 00 00  00 00 00 00 00 00 00 00  |...&............|
00000060  00 00 00 00 00 00 00 00  E3 83 A1 E3 83 8F E3 82  |................|
00000070  B7 E3 82 A7 E3 83 8F 00  00 00 00 00 E3 83 89 E3  |................|
00000080  83 A9 E3 82 AF E3 82 A8  E5 A4 A7 E5 A5 BD E3 81  |................|
00000090  8D E3 81 A8 E3 81 84 E3  81 86 E3 81 93 E3 81 A8  |................|
000000a0  E3 81 AA E3 81 AE E3 81  A7 E3 83 89 E3 83 A9 E3  |................|
000000b0  82 AF E3 82 A8 E3 82 92  E4 BB A3 E8 A1 A8 E3 81  |................|
000000c0  99 E2 80 A6 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000000d0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000000e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000000f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000100  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000110  E3 83 A1 E3 83 8F E3 82  B7 E3 82 A7 E3 83 8F 00  |................|
00000120  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000130  59 00 00 00 58 00 00 00  00 00 00 00 00 00 5A 0A  |Y...X.........Z.|
00000140  00 00 5A 40 A1 31 00 00  00 00 00 00 00 00 00 00  |..Z@.1..........|
00000150  00 00 01 00 00 00 00 00  00 00 00 80 79 44 E4 00  |............yD..|
00000160  00 00 02 00 00 00 5A 40  A1 31 00 00 00 00 02 00  |......Z@.1......|
00000170  00 00 00 00 00 00 00 00  00 00 00 00 00 00 E9 81  |................|
00000180  8B E5 96 B6 E3 83 81 E3  83 BC E3 83 A0 00 00 00  |................|
00000190  00 00 E3 80 8C E9 98 B2  E8 A1 9B E8 BB 8D E3 83  |................|
000001a0  95 E3 82 A3 E3 83 BC E3  83 90 E3 83 BC E3 80 8D  |................|
000001b0  E6 9C 9F E9 96 93 E4 B8  AD E3 80 81 E4 B8 80 E9  |................|
000001c0  83 A8 E5 85 B5 E5 9B A3  E3 81 A7 E3 80 80 E6 88  |................|
000001d0  A6 E9 97 98 E3 81 AB E2  80 A6 00 00 00 00 00 00  |................|
000001e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000001f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000200  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000210  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000220  00 00 00 00 00 00 E3 81  86 E3 82 93 E3 81 88 E3  |................|
00000230  81 84 E3 81 A1 E3 83 BC  E3 82 80 00 00 00 00 00  |................|
00000240  00 00 00 00 00 00 5A 00  00 00 59 00 00 00 00 00  |......Z...Y.....|
00000250  00 00 00 00 5A 0A 00 00  83 A0 EF 31 E3 F1 07 05  |....Z......1....|
00000260  00 00 00 00 55 08 00 00  01 00 02 00 00 00 00 00  |....U...........|
00000270  00 80 79 44 E4 00 00 00  00 00 37 00 1C A2 EF 31  |..yD......7....1|
00000280  E3 F1 07 05 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000290  00 00 00 00 E3 82 A4 E3  83 83 E3 82 BB E3 82 A4  |................|
000002a0  00 00 00 00 00 00 00 00  48 61 70 70 79 20 62 69  |........Happy bi|
000002b0  72 74 68 64 61 79 2C 20  44 65 61 72 20 4D 72 2E  |rthday, Dear Mr.|
000002c0  53 68 6F 62 75 20 73 61  6D 61 21 48 65 72 65 20  |Shobu sama!Here |
000002d0  69 73 20 61 20 6C E2 80  A6 00 00 00 00 00 00 00  |is a l..........|
000002e0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
000002f0  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000300  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000310  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000320  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  |................|
00000330  00 00 00 00 00 00 00 00  00 00 00 00 E3 82 A4 E3  |................|
00000340  83 83 E3 82 BB E3 82 A4  00 00 00 00 00 00 00 00  |................|
00000350  00 00 00 00 00 00 00 00  00 00 00 00              |............|
