00000000  A1 BA 21 00 00 00 00 00 00 00 00 06 00 00 00 00  |..!.............|
00000010  00 00 00 01 00 00 00 01 00 00 00 07 00 00 00 18  |................|
00000020  00 00 00 08 40 2C 01 00 00 00 00 00 00 00 00 0D  |....@,..........|
00000030  00 00 00 E3 82 B9 E3 83 A9 E3 83 AA E3 83 B3 00  |................|
00000040  00 00 00 00 00 00 00 00 01 01 00 00 00 10 00 00  |................|
00000050  00 02 00 00 00 0D 00 00 00 2A 00 00 00 08 60 2C  |.........*....`,|
00000060  01 00 00 00 00 00 00 00 00 0D 00 00 00 E3 83 9C  |................|
00000070  E3 83 AD E3 83 B3 E3 82 B4 00 00 00 00 00 01 00  |................|
00000080  00 00 01 02 00 00 00 0E 00 00 00 03 00 00 00 0B  |................|
00000090  00 00 00 18 00 00 00 06 48 2C 01 00 00 00 00 00  |........H,......|
000000A0  00 00 00 0D 00 00 00 E3 81 A9 E3 82 89 E3 81 8D  |................|
000000B0  E3 81 A1 00 00 00 00 00 00 00 00 00 01 03 00 00  |................|
000000C0  00 1C 00 00 00 04 00 00 00 07 00 00 00 32 00 00  |.............2..|
000000D0  00 01 20 2C 01 00 00 00 00 00 00 00 00 0D 00 00  |.. ,............|
000000E0  00 E3 83 91 E3 83 9A E3 83 83 E3 82 AF 00 00 00  |................|
000000F0  00 00 01 00 00 00 01 04 00 00 00 1B 00 00 00 05  |................|
00000100  00 00 00 04 00 00 00 32 00 00 00 0F 00 2C 01 57  |.......2.....,.W|
00000110  01 00 00 00 00 00 00 0D 00 00 00 E3 83 90 E3 82  |................|
00000120  A4 E3 83 B3 E3 83 89 00 00 00 00 00 00 00 00 00  |................|
00000130  01 05 00 00 00 20 00 00 00 06 00 00 00 03 00 00  |..... ..........|
00000140  00 32 00 00 00 01 20 2C 01 00 00 00 00 00 00 00  |.2.... ,........|
00000150  00 0D 00 00 00 E3 83 81 E3 82 A7 E3 82 B9 E3 83  |................|
00000160  88 00 00 00 00 00 01 00 00 00 01 07 00 00 00 00  |................|
00000170  00 00 00 06 9A C5 01 00 00 00 00                 |...........|
